[01/200] Total Loss: 0.0031, Discrepancy Loss: 0.0030,  Constraint Loss: 0.0156
[02/200] Total Loss: 0.0034, Discrepancy Loss: 0.0034,  Constraint Loss: 0.0072
[03/200] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0047
[04/200] Total Loss: 0.0030, Discrepancy Loss: 0.0030,  Constraint Loss: 0.0040
[05/200] Total Loss: 0.0025, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0048
[06/200] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0037
[07/200] Total Loss: 0.0021, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0035
[08/200] Total Loss: 0.0015, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0047
[09/200] Total Loss: 0.0029, Discrepancy Loss: 0.0029,  Constraint Loss: 0.0034
[10/200] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0035
[11/200] Total Loss: 0.0010, Discrepancy Loss: 0.0010,  Constraint Loss: 0.0020
[12/200] Total Loss: 0.0023, Discrepancy Loss: 0.0023,  Constraint Loss: 0.0032
[13/200] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0032
[14/200] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0027
[15/200] Total Loss: 0.0026, Discrepancy Loss: 0.0026,  Constraint Loss: 0.0047
[16/200] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0028
[17/200] Total Loss: 0.0018, Discrepancy Loss: 0.0017,  Constraint Loss: 0.0030
[18/200] Total Loss: 0.0016, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0029
[19/200] Total Loss: 0.0019, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0030
[20/200] Total Loss: 0.0024, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0034
[21/200] Total Loss: 0.0019, Discrepancy Loss: 0.0019,  Constraint Loss: 0.0031
[22/200] Total Loss: 0.0023, Discrepancy Loss: 0.0022,  Constraint Loss: 0.0031
[23/200] Total Loss: 0.0022, Discrepancy Loss: 0.0021,  Constraint Loss: 0.0038
[24/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0031
