[01/200] Total Loss: 0.0011, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0096
[02/200] Total Loss: 0.0029, Discrepancy Loss: 0.0029,  Constraint Loss: 0.0056
[03/200] Total Loss: 0.0025, Discrepancy Loss: 0.0025,  Constraint Loss: 0.0032
[04/200] Total Loss: 0.0028, Discrepancy Loss: 0.0028,  Constraint Loss: 0.0027
[05/200] Total Loss: 0.0024, Discrepancy Loss: 0.0024,  Constraint Loss: 0.0022
[06/200] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0022
[07/200] Total Loss: 0.0016, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0019
[08/200] Total Loss: 0.0007, Discrepancy Loss: 0.0006,  Constraint Loss: 0.0012
[09/200] Total Loss: 0.0032, Discrepancy Loss: 0.0032,  Constraint Loss: 0.0026
[10/200] Total Loss: 0.0009, Discrepancy Loss: 0.0009,  Constraint Loss: 0.0013
[11/200] Total Loss: 0.0012, Discrepancy Loss: 0.0012,  Constraint Loss: 0.0014
[12/200] Total Loss: 0.0010, Discrepancy Loss: 0.0010,  Constraint Loss: 0.0016
[13/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0022
[14/200] Total Loss: 0.0011, Discrepancy Loss: 0.0011,  Constraint Loss: 0.0015
[15/200] Total Loss: 0.0005, Discrepancy Loss: 0.0005,  Constraint Loss: 0.0019
[16/200] Total Loss: 0.0006, Discrepancy Loss: 0.0006,  Constraint Loss: 0.0017
[17/200] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0024
[18/200] Total Loss: 0.0014, Discrepancy Loss: 0.0014,  Constraint Loss: 0.0026
[19/200] Total Loss: 0.0010, Discrepancy Loss: 0.0010,  Constraint Loss: 0.0027
[20/200] Total Loss: 0.0016, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0027
[21/200] Total Loss: 0.0018, Discrepancy Loss: 0.0018,  Constraint Loss: 0.0034
[22/200] Total Loss: 0.0011, Discrepancy Loss: 0.0010,  Constraint Loss: 0.0031
[23/200] Total Loss: 0.0015, Discrepancy Loss: 0.0015,  Constraint Loss: 0.0026
[24/200] Total Loss: 0.0010, Discrepancy Loss: 0.0009,  Constraint Loss: 0.0027
[25/200] Total Loss: 0.0013, Discrepancy Loss: 0.0013,  Constraint Loss: 0.0028
[26/200] Total Loss: 0.0006, Discrepancy Loss: 0.0006,  Constraint Loss: 0.0022
[27/200] Total Loss: 0.0016, Discrepancy Loss: 0.0016,  Constraint Loss: 0.0030
[28/200] Total Loss: 0.0020, Discrepancy Loss: 0.0020,  Constraint Loss: 0.0027
