[01/100] Total Loss: 0.1699, Discrepancy Loss: 0.0270,  Constraint Loss: 0.0714
[02/100] Total Loss: 0.0821, Discrepancy Loss: 0.0286,  Constraint Loss: 0.0268
[03/100] Total Loss: 0.0593, Discrepancy Loss: 0.0157,  Constraint Loss: 0.0218
[04/100] Total Loss: 0.0372, Discrepancy Loss: 0.0137,  Constraint Loss: 0.0118
[05/100] Total Loss: 0.0257, Discrepancy Loss: 0.0114,  Constraint Loss: 0.0071
[06/100] Total Loss: 0.0242, Discrepancy Loss: 0.0103,  Constraint Loss: 0.0070
[07/100] Total Loss: 0.0166, Discrepancy Loss: 0.0083,  Constraint Loss: 0.0042
[08/100] Total Loss: 0.0173, Discrepancy Loss: 0.0098,  Constraint Loss: 0.0038
[09/100] Total Loss: 0.0126, Discrepancy Loss: 0.0071,  Constraint Loss: 0.0027
[10/100] Total Loss: 0.0104, Discrepancy Loss: 0.0059,  Constraint Loss: 0.0022
[11/100] Total Loss: 0.0096, Discrepancy Loss: 0.0058,  Constraint Loss: 0.0019
[12/100] Total Loss: 0.0083, Discrepancy Loss: 0.0050,  Constraint Loss: 0.0016
[13/100] Total Loss: 0.0080, Discrepancy Loss: 0.0050,  Constraint Loss: 0.0015
[14/100] Total Loss: 0.0113, Discrepancy Loss: 0.0061,  Constraint Loss: 0.0026
[15/100] Total Loss: 0.0124, Discrepancy Loss: 0.0068,  Constraint Loss: 0.0028
[16/100] Total Loss: 0.0065, Discrepancy Loss: 0.0042,  Constraint Loss: 0.0011
[17/100] Total Loss: 0.0060, Discrepancy Loss: 0.0042,  Constraint Loss: 0.0009
[18/100] Total Loss: 0.0057, Discrepancy Loss: 0.0040,  Constraint Loss: 0.0008
[19/100] Total Loss: 0.0052, Discrepancy Loss: 0.0039,  Constraint Loss: 0.0007
[20/100] Total Loss: 0.0050, Discrepancy Loss: 0.0037,  Constraint Loss: 0.0006
[21/100] Total Loss: 0.0049, Discrepancy Loss: 0.0038,  Constraint Loss: 0.0006
[22/100] Total Loss: 0.0046, Discrepancy Loss: 0.0035,  Constraint Loss: 0.0005
[23/100] Total Loss: 0.0053, Discrepancy Loss: 0.0040,  Constraint Loss: 0.0006
[24/100] Total Loss: 0.0044, Discrepancy Loss: 0.0035,  Constraint Loss: 0.0005
[25/100] Total Loss: 0.0050, Discrepancy Loss: 0.0041,  Constraint Loss: 0.0004
[26/100] Total Loss: 0.0052, Discrepancy Loss: 0.0039,  Constraint Loss: 0.0007
[27/100] Total Loss: 0.0054, Discrepancy Loss: 0.0045,  Constraint Loss: 0.0005
[28/100] Total Loss: 0.0042, Discrepancy Loss: 0.0035,  Constraint Loss: 0.0004
[29/100] Total Loss: 0.1181, Discrepancy Loss: 0.0118,  Constraint Loss: 0.0532
[30/100] Total Loss: 0.0083, Discrepancy Loss: 0.0049,  Constraint Loss: 0.0017
[31/100] Total Loss: 0.0052, Discrepancy Loss: 0.0041,  Constraint Loss: 0.0005
[32/100] Total Loss: 0.0043, Discrepancy Loss: 0.0035,  Constraint Loss: 0.0004
[33/100] Total Loss: 0.0042, Discrepancy Loss: 0.0034,  Constraint Loss: 0.0004
[34/100] Total Loss: 0.0046, Discrepancy Loss: 0.0037,  Constraint Loss: 0.0004
[35/100] Total Loss: 0.0042, Discrepancy Loss: 0.0033,  Constraint Loss: 0.0004
[36/100] Total Loss: 0.0043, Discrepancy Loss: 0.0036,  Constraint Loss: 0.0004
[37/100] Total Loss: 0.0047, Discrepancy Loss: 0.0040,  Constraint Loss: 0.0003
[38/100] Total Loss: 0.0051, Discrepancy Loss: 0.0035,  Constraint Loss: 0.0008
[39/100] Total Loss: 0.0037, Discrepancy Loss: 0.0032,  Constraint Loss: 0.0003
[40/100] Total Loss: 0.0043, Discrepancy Loss: 0.0036,  Constraint Loss: 0.0004
[41/100] Total Loss: 0.0042, Discrepancy Loss: 0.0036,  Constraint Loss: 0.0003
[42/100] Total Loss: 0.0042, Discrepancy Loss: 0.0036,  Constraint Loss: 0.0003
[43/100] Total Loss: 0.0039, Discrepancy Loss: 0.0033,  Constraint Loss: 0.0003
[44/100] Total Loss: 0.0043, Discrepancy Loss: 0.0038,  Constraint Loss: 0.0003
[45/100] Total Loss: 0.0043, Discrepancy Loss: 0.0036,  Constraint Loss: 0.0004
[46/100] Total Loss: 0.0040, Discrepancy Loss: 0.0035,  Constraint Loss: 0.0003
[47/100] Total Loss: 0.0053, Discrepancy Loss: 0.0043,  Constraint Loss: 0.0005
[48/100] Total Loss: 0.0039, Discrepancy Loss: 0.0034,  Constraint Loss: 0.0002
[49/100] Total Loss: 0.0044, Discrepancy Loss: 0.0038,  Constraint Loss: 0.0003
[50/100] Total Loss: 0.0039, Discrepancy Loss: 0.0035,  Constraint Loss: 0.0002
[51/100] Total Loss: 0.0037, Discrepancy Loss: 0.0033,  Constraint Loss: 0.0002
[52/100] Total Loss: 0.0059, Discrepancy Loss: 0.0040,  Constraint Loss: 0.0010
[53/100] Total Loss: 0.0043, Discrepancy Loss: 0.0038,  Constraint Loss: 0.0003
[54/100] Total Loss: 0.0032, Discrepancy Loss: 0.0028,  Constraint Loss: 0.0002
[55/100] Total Loss: 0.0041, Discrepancy Loss: 0.0033,  Constraint Loss: 0.0004
[56/100] Total Loss: 0.0037, Discrepancy Loss: 0.0033,  Constraint Loss: 0.0002
[57/100] Total Loss: 0.0037, Discrepancy Loss: 0.0033,  Constraint Loss: 0.0002
[58/100] Total Loss: 0.0039, Discrepancy Loss: 0.0036,  Constraint Loss: 0.0002
[59/100] Total Loss: 0.0045, Discrepancy Loss: 0.0041,  Constraint Loss: 0.0002
[60/100] Total Loss: 0.0041, Discrepancy Loss: 0.0032,  Constraint Loss: 0.0004
[61/100] Total Loss: 0.0036, Discrepancy Loss: 0.0033,  Constraint Loss: 0.0001
[62/100] Total Loss: 0.0044, Discrepancy Loss: 0.0039,  Constraint Loss: 0.0003
[63/100] Total Loss: 0.0040, Discrepancy Loss: 0.0036,  Constraint Loss: 0.0002
[64/100] Total Loss: 0.0044, Discrepancy Loss: 0.0039,  Constraint Loss: 0.0003
[65/100] Total Loss: 0.0034, Discrepancy Loss: 0.0031,  Constraint Loss: 0.0002
[66/100] Total Loss: 0.0035, Discrepancy Loss: 0.0032,  Constraint Loss: 0.0002
[67/100] Total Loss: 0.0036, Discrepancy Loss: 0.0033,  Constraint Loss: 0.0001
[68/100] Total Loss: 0.0038, Discrepancy Loss: 0.0035,  Constraint Loss: 0.0002
[69/100] Total Loss: 0.0035, Discrepancy Loss: 0.0032,  Constraint Loss: 0.0001
[70/100] Total Loss: 0.0035, Discrepancy Loss: 0.0032,  Constraint Loss: 0.0001
[71/100] Total Loss: 0.0033, Discrepancy Loss: 0.0031,  Constraint Loss: 0.0001
[72/100] Total Loss: 0.0046, Discrepancy Loss: 0.0033,  Constraint Loss: 0.0007
[73/100] Total Loss: 0.0042, Discrepancy Loss: 0.0036,  Constraint Loss: 0.0003
[74/100] Total Loss: 0.0035, Discrepancy Loss: 0.0031,  Constraint Loss: 0.0002
[75/100] Total Loss: 0.0031, Discrepancy Loss: 0.0029,  Constraint Loss: 0.0001
[76/100] Total Loss: 0.0052, Discrepancy Loss: 0.0043,  Constraint Loss: 0.0005
[77/100] Total Loss: 0.0037, Discrepancy Loss: 0.0035,  Constraint Loss: 0.0001
[78/100] Total Loss: 0.0036, Discrepancy Loss: 0.0033,  Constraint Loss: 0.0001
[79/100] Total Loss: 0.0035, Discrepancy Loss: 0.0033,  Constraint Loss: 0.0001
[80/100] Total Loss: 0.0034, Discrepancy Loss: 0.0032,  Constraint Loss: 0.0001
[81/100] Total Loss: 0.0034, Discrepancy Loss: 0.0032,  Constraint Loss: 0.0001
[82/100] Total Loss: 0.0030, Discrepancy Loss: 0.0028,  Constraint Loss: 0.0001
[83/100] Total Loss: 0.0037, Discrepancy Loss: 0.0035,  Constraint Loss: 0.0001
[84/100] Total Loss: 0.0034, Discrepancy Loss: 0.0031,  Constraint Loss: 0.0001
[85/100] Total Loss: 0.0036, Discrepancy Loss: 0.0034,  Constraint Loss: 0.0001
[86/100] Total Loss: 0.0037, Discrepancy Loss: 0.0032,  Constraint Loss: 0.0003
[87/100] Total Loss: 0.0039, Discrepancy Loss: 0.0036,  Constraint Loss: 0.0002
[88/100] Total Loss: 0.0032, Discrepancy Loss: 0.0031,  Constraint Loss: 0.0001
[89/100] Total Loss: 0.0032, Discrepancy Loss: 0.0030,  Constraint Loss: 0.0001
[90/100] Total Loss: 0.0033, Discrepancy Loss: 0.0031,  Constraint Loss: 0.0001
[91/100] Total Loss: 0.0035, Discrepancy Loss: 0.0033,  Constraint Loss: 0.0001
[92/100] Total Loss: 0.0032, Discrepancy Loss: 0.0031,  Constraint Loss: 0.0001
[93/100] Total Loss: 0.0034, Discrepancy Loss: 0.0030,  Constraint Loss: 0.0002
[94/100] Total Loss: 0.0032, Discrepancy Loss: 0.0029,  Constraint Loss: 0.0001
[95/100] Total Loss: 0.0039, Discrepancy Loss: 0.0035,  Constraint Loss: 0.0002
[96/100] Total Loss: 0.0035, Discrepancy Loss: 0.0033,  Constraint Loss: 0.0001
[97/100] Total Loss: 0.0037, Discrepancy Loss: 0.0034,  Constraint Loss: 0.0002
[98/100] Total Loss: 0.0032, Discrepancy Loss: 0.0030,  Constraint Loss: 0.0001
[99/100] Total Loss: 0.0032, Discrepancy Loss: 0.0030,  Constraint Loss: 0.0001
[100/100] Total Loss: 0.0032, Discrepancy Loss: 0.0030,  Constraint Loss: 0.0001
[01/200] Total Loss: 1.2244, Discrepancy Loss: 0.0350,  Constraint Loss: 0.5947
[02/200] Total Loss: 0.2843, Discrepancy Loss: 0.0215,  Constraint Loss: 0.1314
[03/200] Total Loss: 0.0785, Discrepancy Loss: 0.0160,  Constraint Loss: 0.0313
[04/200] Total Loss: 0.0478, Discrepancy Loss: 0.0133,  Constraint Loss: 0.0172
[05/200] Total Loss: 0.0367, Discrepancy Loss: 0.0116,  Constraint Loss: 0.0125
[06/200] Total Loss: 0.0373, Discrepancy Loss: 0.0122,  Constraint Loss: 0.0126
[07/200] Total Loss: 0.0347, Discrepancy Loss: 0.0130,  Constraint Loss: 0.0108
[08/200] Total Loss: 0.0522, Discrepancy Loss: 0.0133,  Constraint Loss: 0.0194
[09/200] Total Loss: 0.0349, Discrepancy Loss: 0.0145,  Constraint Loss: 0.0102
[10/200] Total Loss: 0.0262, Discrepancy Loss: 0.0102,  Constraint Loss: 0.0080
[11/200] Total Loss: 0.0228, Discrepancy Loss: 0.0092,  Constraint Loss: 0.0068
[12/200] Total Loss: 0.0272, Discrepancy Loss: 0.0119,  Constraint Loss: 0.0076
[13/200] Total Loss: 0.0220, Discrepancy Loss: 0.0099,  Constraint Loss: 0.0060
[14/200] Total Loss: 0.0236, Discrepancy Loss: 0.0103,  Constraint Loss: 0.0066
[15/200] Total Loss: 0.0182, Discrepancy Loss: 0.0084,  Constraint Loss: 0.0049
[16/200] Total Loss: 0.0177, Discrepancy Loss: 0.0088,  Constraint Loss: 0.0045
[17/200] Total Loss: 0.0174, Discrepancy Loss: 0.0087,  Constraint Loss: 0.0044
[18/200] Total Loss: 0.0154, Discrepancy Loss: 0.0085,  Constraint Loss: 0.0035
[19/200] Total Loss: 0.0216, Discrepancy Loss: 0.0125,  Constraint Loss: 0.0045
[20/200] Total Loss: 0.0163, Discrepancy Loss: 0.0097,  Constraint Loss: 0.0033
[21/200] Total Loss: 0.0181, Discrepancy Loss: 0.0084,  Constraint Loss: 0.0048
[22/200] Total Loss: 0.0137, Discrepancy Loss: 0.0086,  Constraint Loss: 0.0025
[23/200] Total Loss: 0.0129, Discrepancy Loss: 0.0070,  Constraint Loss: 0.0030
[24/200] Total Loss: 0.0140, Discrepancy Loss: 0.0089,  Constraint Loss: 0.0026
